id_client,genre,espace_client_web,assurance_vie,banque_principale,anciennete_mois,compte_epargne,credit_autres,cartes_bancaires,compte_courant,compte_joint,PEA,assurance_auto,assurance_habitation,credit_immo,type,compte_titres,methode_contact,agios_6mois,age,segment_client,var_0,branche,churn
5142,F,0.0,non,non,66.0,oui,consommation,medium,oui,oui,oui,oui,oui,non,perso,oui,telephone,104.55,59.0,C1,858.5485259562147,NORD-OUEST,non
2034,H,0.0,oui,oui,41.0,oui,permanent,basic,oui,oui,oui,non,non,non,perso,oui,telephone,60.3,33.0,D1,1275.4041918569783,NORD-OUEST,non
2665,H,1.0,oui,non,33.0,oui,permanent,medium,oui,oui,non,oui,non,oui,perso,oui,mail,93.55,40.0,D1,3626.45721700103,NORD-OUEST,non
451,F,1.0,non,non,22.0,oui,permanent,basic,oui,non,oui,oui,non,oui,pro,oui,courrier,69.75,48.0,C4,10233.873926945404,NORD-OUEST,non
5512,F,0.0,oui,oui,9.0,oui,consommation,basic,non,oui,non,non,non,non,pro,oui,courrier,55.3,58.0,A1,15441.977893729836,NORD-OUEST,non
6899,H,0.0,non,non,1.0,oui,permanent,basic,non,non,non,non,non,non,pro,oui,telephone,45.1,28.0,D1,885.7813989811198,NORD-OUEST,oui
3776,H,0.0,oui,non,43.0,oui,permanent,basic,non,non,non,non,oui,non,perso,oui,courrier,56.35,48.0,A4,11688.447071268098,NORD-OUEST,non
4500,H,0.0,oui,oui,61.0,oui,permanent,medium,non,oui,oui,oui,oui,oui,perso,non,sms,103.9,29.0,B2,7640.8300176218545,NORD-OUEST,non
6741,F,0.0,non,non,12.0,oui,permanent,medium,non,non,oui,non,oui,oui,pro,oui,mail,96.0,38.0,D3,2041.764538923685,NORD-OUEST,oui
1152,H,0.0,non,non,7.0,oui,permanent,basic,non,non,non,non,oui,non,pro,non,courrier,54.85,40.0,C4,7398.182680529149,NORD-OUEST,non
5565,F,0.0,oui,non,18.0,non,bail,basic,non,non,oui,non,oui,non,pro,oui,mail,39.05,35.0,C3,262.25213087920065,NORD-OUEST,oui
5356,F,0.0,oui,non,26.0,non,bail,basic,oui,non,oui,non,non,non,perso,non,sms,35.4,38.0,B2,13624.208925745988,NORD-OUEST,non
1054,H,0.0,oui,non,40.0,oui,consommation,medium,non,non,non,non,oui,oui,pro,oui,telephone,97.1,40.0,B2,11554.449271798148,NORD-OUEST,oui
6306,H,0.0,non,non,71.0,oui,consommation,medium,oui,oui,oui,oui,oui,oui,perso,oui,telephone,116.3,38.0,D1,6764.027272805764,NORD-OUEST,non
620,H,1.0,oui,oui,10.0,non,bail,basic,non,non,non,non,non,oui,pro,oui,telephone,34.55,29.0,D1,5376.759381220591,NORD-OUEST,non
4033,H,0.0,oui,oui,67.0,oui,permanent,basic,oui,oui,non,oui,non,non,perso,non,courrier,60.05,42.0,C2,5761.948332969336,NORD-OUEST,non
5760,H,1.0,oui,non,16.0,oui,permanent,medium,non,non,oui,oui,non,oui,pro,oui,mail,91.55,75.0,C1,14335.63281998515,NORD-OUEST,non
1085,F,1.0,non,non,13.0,oui,permanent,medium,non,non,oui,non,non,non,pro,oui,mail,74.3,61.0,A2,1147.958638793772,NORD-OUEST,oui
3384,F,0.0,oui,oui,4.0,oui,permanent,medium,non,non,oui,non,non,non,pro,oui,mail,73.75,22.0,B3,5645.931677948996,NORD-OUEST,oui
6222,H,0.0,non,non,66.0,oui,consommation,medium,non,oui,non,non,non,oui,pro,non,sms,89.4,49.0,C2,2526.1157752709764,NORD-OUEST,non
4764,H,0.0,non,non,2.0,oui,permanent,basic,non,non,non,non,non,non,pro,oui,mail,45.15,45.0,C4,263.6387384290929,NORD-OUEST,oui
3450,H,1.0,oui,non,70.0,oui,consommation,medium,non,oui,oui,non,oui,oui,perso,oui,mail,104.8,40.0,A1,2489.8549418191024,NORD-OUEST,non
677,F,0.0,non,non,2.0,non,bail,basic,non,non,non,non,non,oui,pro,oui,mail,34.7,37.0,D3,1770.017220089248,NORD-OUEST,oui
1483,F,0.0,oui,oui,29.0,oui,permanent,basic,oui,oui,non,oui,non,oui,perso,oui,sms,69.75,57.0,B1,3689.389152358747,NORD-OUEST,non
6957,H,0.0,non,non,9.0,oui,permanent,medium,non,non,non,oui,oui,non,pro,non,mail,86.25,59.0,A1,5658.716189329877,NORD-OUEST,non
1626,H,0.0,non,non,20.0,oui,consommation,basic,oui,non,non,oui,non,non,pro,non,telephone,59.2,77.0,B1,27019.8156024439,NORD-OUEST,non
1790,F,0.0,non,non,12.0,oui,permanent,medium,non,non,non,non,non,oui,pro,non,telephone,78.1,27.0,D3,11392.899222476248,NORD-OUEST,oui
5458,H,0.0,non,non,7.0,oui,permanent,basic,oui,non,non,non,non,non,pro,oui,courrier,51.0,40.0,B3,747.0089024621379,NORD-OUEST,oui
3132,H,0.0,non,non,1.0,oui,permanent,medium,non,non,non,oui,non,non,pro,oui,courrier,74.3,34.0,C1,11954.170696280758,NORD-OUEST,non
2301,F,0.0,oui,non,8.0,oui,consommation,medium,non,non,non,oui,non,oui,pro,oui,mail,90.25,56.0,C2,6082.998564431147,NORD-OUEST,non
3612,H,0.0,non,non,21.0,oui,consommation,medium,non,non,non,non,non,non,pro,oui,mail,73.7,24.0,C4,11562.097986937337,NORD-OUEST,non
3594,F,0.0,non,non,9.0,non,bail,basic,non,oui,non,non,non,oui,pro,non,mail,40.75,40.0,B1,23.02730068809069,NORD-OUEST,non
6025,F,0.0,non,oui,41.0,oui,permanent,basic,non,non,non,non,non,non,pro,non,telephone,45.2,23.0,C1,1687.106906650799,NORD-OUEST,non
4484,H,0.0,non,non,1.0,oui,permanent,medium,non,non,non,non,non,non,pro,oui,mail,70.35,44.0,C1,6445.806230789094,NORD-OUEST,non
4720,H,1.0,non,non,64.0,oui,consommation,medium,non,non,oui,oui,oui,oui,perso,non,mail,102.1,57.0,A1,10078.163029297802,NORD-OUEST,non
3617,F,1.0,oui,non,18.0,non,bail,basic,non,non,oui,non,oui,oui,pro,oui,mail,48.35,38.0,D1,4959.314179536261,NORD-OUEST,oui
2457,H,1.0,oui,non,57.0,oui,permanent,medium,non,oui,oui,non,oui,non,perso,oui,mail,90.65,62.0,D1,3383.500582608201,NORD-OUEST,non
5527,F,1.0,oui,non,72.0,oui,consommation,medium,non,oui,oui,non,oui,oui,perso,non,sms,105.0,31.0,A4,2737.911143943905,NORD-OUEST,non
368,H,0.0,oui,non,71.0,oui,consommation,medium,non,non,oui,non,oui,oui,perso,oui,sms,98.65,43.0,A4,18965.72913404586,NORD-OUEST,non
4195,F,1.0,non,non,45.0,oui,consommation,basic,oui,non,non,oui,non,oui,pro,oui,mail,70.05,54.0,C4,13950.969039481612,NORD-OUEST,non
2613,F,0.0,non,non,1.0,oui,consommation,medium,non,oui,non,non,non,non,pro,oui,courrier,80.2,29.0,C1,4051.891226032024,NORD-OUEST,oui
2691,F,0.0,non,non,7.0,oui,permanent,basic,oui,non,non,non,non,oui,perso,oui,mail,59.1,33.0,C2,906.7253037078708,NORD-OUEST,non
2631,H,1.0,oui,non,7.0,oui,consommation,medium,non,non,oui,non,oui,oui,pro,oui,mail,99.25,40.0,A3,1575.604915071734,NORD-OUEST,oui
3306,F,0.0,oui,oui,3.0,oui,permanent,medium,non,oui,non,oui,non,non,pro,oui,mail,80.0,33.0,B2,14722.48696662101,NORD-OUEST,non
5678,F,0.0,non,oui,1.0,oui,permanent,basic,oui,oui,non,oui,non,non,pro,oui,mail,60.0,31.0,C3,890.445548776861,NORD-OUEST,oui
1,H,0.0,non,non,34.0,oui,permanent,basic,oui,non,oui,non,non,non,perso,non,courrier,56.95,30.0,B1,6098.838606597679,NORD-OUEST,non
2420,H,0.0,oui,oui,4.0,non,bail,basic,oui,non,non,non,oui,non,pro,non,sms,38.55,37.0,C1,5194.98077187401,NORD-OUEST,non
2938,H,0.0,oui,non,53.0,oui,consommation,medium,non,oui,non,oui,non,oui,perso,non,telephone,97.75,58.0,C1,8137.134372288524,NORD-OUEST,non
5648,F,1.0,oui,oui,28.0,non,bail,basic,non,oui,non,non,non,oui,perso,oui,mail,39.1,65.0,C4,2145.4704800657764,NORD-OUEST,non
3320,H,1.0,oui,non,18.0,oui,permanent,basic,oui,non,non,non,non,oui,pro,oui,sms,59.1,32.0,C2,2913.4969273755078,NORD-OUEST,non
5200,F,0.0,oui,oui,70.0,oui,consommation,medium,non,oui,oui,non,oui,oui,perso,oui,mail,106.5,45.0,C3,15715.970358323904,NORD-OUEST,non
1234,H,0.0,non,oui,54.0,oui,permanent,medium,oui,oui,non,oui,oui,oui,perso,oui,mail,105.85,53.0,B1,4517.462465404164,NORD-OUEST,non
4875,F,1.0,oui,non,48.0,oui,consommation,medium,oui,oui,oui,oui,oui,oui,pro,non,mail,117.45,27.0,D2,1380.8079056576184,NORD-OUEST,oui
2640,H,0.0,non,non,22.0,oui,permanent,medium,non,oui,oui,oui,non,oui,pro,oui,telephone,94.95,39.0,B2,18800.37777026932,NORD-OUEST,non
1564,H,1.0,non,non,10.0,oui,consommation,medium,non,non,non,non,oui,oui,pro,oui,mail,95.35,22.0,B3,323.9922191688711,NORD-OUEST,oui
6689,F,0.0,oui,oui,67.0,oui,consommation,medium,non,oui,oui,oui,oui,oui,perso,oui,sms,112.35,53.0,B1,11631.095861247535,NORD-OUEST,non
1821,H,1.0,oui,non,32.0,oui,consommation,medium,non,non,non,non,non,oui,pro,non,mail,85.3,21.0,A4,5857.260656134071,NORD-OUEST,oui
3162,H,0.0,non,non,19.0,oui,consommation,basic,non,non,non,non,oui,oui,pro,non,courrier,69.6,32.0,A1,13816.31011155613,NORD-OUEST,non
2798,H,0.0,non,non,10.0,oui,permanent,medium,non,non,oui,non,oui,oui,pro,oui,mail,94.9,40.0,B1,2684.3810722202743,NORD-OUEST,oui
3445,F,0.0,oui,non,46.0,oui,consommation,medium,non,oui,non,oui,oui,oui,perso,oui,mail,103.15,64.0,C3,17927.160405307477,NORD-OUEST,non
5966,H,0.0,oui,non,42.0,oui,consommation,medium,non,oui,oui,oui,non,oui,pro,oui,mail,99.45,48.0,B3,5232.127622804794,NORD-OUEST,oui
2881,F,0.0,oui,non,31.0,oui,permanent,basic,oui,non,non,oui,non,oui,perso,oui,mail,64.0,71.0,A1,5114.152589501447,NORD-OUEST,non
1086,F,1.0,non,non,11.0,oui,permanent,medium,non,non,non,non,oui,oui,pro,non,telephone,89.7,21.0,A1,2469.317308487328,NORD-OUEST,oui
3301,F,1.0,non,non,1.0,oui,permanent,medium,non,non,non,non,non,non,pro,oui,mail,69.6,23.0,C2,2944.545239044386,NORD-OUEST,oui
533,H,1.0,oui,oui,68.0,oui,consommation,medium,non,non,oui,oui,oui,oui,perso,oui,sms,107.15,30.0,B2,4785.962301797056,NORD-OUEST,non
5270,H,0.0,non,oui,40.0,oui,permanent,basic,oui,oui,non,non,non,non,pro,oui,courrier,55.25,32.0,C1,6321.280586812125,NORD-OUEST,oui
3792,F,1.0,non,non,26.0,oui,permanent,medium,non,non,non,non,oui,oui,pro,oui,mail,91.25,25.0,B4,16902.684094425218,NORD-OUEST,oui
1789,H,0.0,oui,non,54.0,non,bail,basic,non,oui,non,non,non,non,pro,non,mail,30.4,40.0,C4,9726.98450217639,NORD-OUEST,non
6843,F,0.0,oui,non,9.0,oui,consommation,medium,oui,oui,oui,non,non,non,pro,non,telephone,91.75,48.0,A2,1807.4992442096136,NORD-OUEST,oui
4376,F,0.0,non,non,45.0,oui,permanent,medium,oui,oui,non,non,oui,oui,perso,oui,mail,100.3,49.0,C3,5761.948332969336,NORD-OUEST,non
1983,H,0.0,oui,non,27.0,oui,consommation,basic,oui,non,non,oui,oui,oui,perso,non,courrier,80.85,33.0,D1,2331.0381671818404,NORD-OUEST,non
6420,H,0.0,oui,non,32.0,oui,consommation,medium,non,non,non,oui,non,non,perso,oui,mail,79.25,72.0,A1,4761.690202909095,NORD-OUEST,non
4951,H,1.0,oui,non,29.0,oui,consommation,medium,non,non,non,non,non,oui,pro,oui,mail,84.3,47.0,B2,3136.8507440909325,NORD-OUEST,non
6717,H,1.0,oui,non,57.0,oui,consommation,medium,non,non,oui,non,oui,oui,pro,non,mail,100.6,25.0,B2,4145.939491307664,NORD-OUEST,oui
1015,H,0.0,oui,oui,12.0,oui,permanent,basic,non,non,non,non,non,oui,perso,non,sms,53.65,28.0,B2,10790.960083848038,NORD-OUEST,oui
4876,H,0.0,non,non,10.0,oui,permanent,medium,oui,oui,oui,non,oui,oui,pro,oui,mail,104.4,26.0,B4,4937.420454168758,NORD-OUEST,oui
4832,H,0.0,oui,non,32.0,oui,permanent,basic,oui,oui,non,oui,non,oui,perso,non,courrier,70.5,103.0,C4,14296.91715590383,NORD-OUEST,non
5105,F,1.0,oui,non,40.0,oui,permanent,medium,non,oui,non,oui,oui,oui,perso,oui,sms,99.2,38.0,D2,5651.081179704297,NORD-OUEST,oui
5205,F,0.0,non,non,37.0,oui,consommation,medium,oui,oui,oui,non,non,non,pro,non,telephone,91.2,43.0,C2,9307.249129832288,NORD-OUEST,non
1644,F,0.0,non,non,34.0,oui,consommation,medium,oui,oui,oui,non,oui,oui,pro,oui,courrier,109.8,70.0,D1,6073.484280383304,NORD-OUEST,oui
455,F,0.0,non,non,24.0,oui,consommation,medium,non,oui,oui,non,oui,oui,pro,oui,mail,104.15,22.0,C1,2068.430020618752,NORD-OUEST,non
4470,H,0.0,non,non,7.0,oui,permanent,basic,non,non,non,non,non,non,pro,oui,telephone,64.76161542923434,74.0,C2,2417.791287324036,NORD-OUEST,non
2827,H,0.0,non,non,1.0,oui,permanent,basic,non,oui,non,non,non,non,pro,oui,courrier,50.15,25.0,B2,1786.194657150574,NORD-OUEST,non
4461,H,0.0,non,non,29.0,oui,permanent,medium,non,non,non,oui,oui,oui,pro,oui,mail,94.2,53.0,C4,6443.5226926672585,NORD-OUEST,non
2343,F,0.0,oui,non,3.0,oui,permanent,basic,non,non,non,non,non,non,pro,oui,courrier,46.1,40.0,C3,182.9568467891013,NORD-OUEST,non
1425,H,0.0,oui,non,12.0,oui,permanent,basic,non,non,oui,oui,oui,oui,pro,oui,mail,74.15,32.0,B2,11429.649921138916,NORD-OUEST,non
1809,H,1.0,oui,non,32.0,oui,consommation,medium,non,non,non,non,non,oui,pro,oui,mail,85.0,30.0,C3,1714.8901854345988,NORD-OUEST,oui
1883,F,1.0,oui,non,35.0,oui,consommation,medium,oui,oui,non,oui,oui,non,pro,oui,telephone,100.5,49.0,B2,2634.183559896615,NORD-OUEST,oui
6391,H,0.0,oui,oui,38.0,oui,consommation,basic,non,oui,oui,non,oui,oui,perso,non,sms,78.95,47.0,C1,1721.2913303611176,NORD-OUEST,non
1012,H,0.0,non,non,9.0,oui,permanent,medium,non,non,non,oui,oui,oui,pro,oui,telephone,64.76161542923434,42.0,B1,2123.093315691925,NORD-OUEST,non
6195,H,0.0,non,non,4.0,oui,consommation,medium,non,non,non,non,non,non,pro,oui,telephone,72.2,38.0,B3,5257.633563149067,NORD-OUEST,oui
3353,H,0.0,oui,non,12.0,oui,permanent,medium,non,oui,non,non,non,oui,pro,oui,sms,85.05,39.0,C4,6955.421113456556,NORD-OUEST,non
6212,H,0.0,non,non,15.0,non,bail,basic,non,non,oui,non,oui,oui,perso,non,mail,50.75,45.0,C3,4736.4020305579525,NORD-OUEST,non
1656,F,0.0,non,non,53.0,oui,consommation,medium,oui,oui,oui,non,non,non,pro,non,mail,90.8,22.0,A1,4278.35382565612,NORD-OUEST,non
1515,F,0.0,non,non,41.0,oui,consommation,basic,non,non,oui,oui,non,oui,perso,oui,mail,68.6,43.0,C1,8105.114404828851,NORD-OUEST,non
1910,F,0.0,oui,oui,5.0,non,bail,basic,non,oui,non,non,non,non,pro,oui,mail,30.5,44.0,B2,1827.1299026531224,NORD-OUEST,non
6847,F,0.0,oui,oui,18.0,oui,permanent,basic,non,non,non,non,oui,non,pro,non,courrier,55.95,45.0,C3,8844.538597364024,NORD-OUEST,non
6029,H,0.0,non,non,4.0,oui,permanent,medium,oui,oui,non,oui,non,oui,pro,oui,courrier,94.9,64.0,B1,21149.99021784053,NORD-OUEST,non
5447,F,0.0,non,non,3.0,oui,permanent,basic,non,non,non,non,non,non,pro,non,courrier,44.75,23.0,C2,1948.703316424402,NORD-OUEST,non
5993,H,0.0,non,non,2.0,oui,permanent,medium,non,oui,non,non,non,non,pro,non,mail,74.95,60.0,C3,25610.65060516004,NORD-OUEST,non
2204,H,0.0,oui,oui,67.0,oui,consommation,medium,oui,oui,oui,non,oui,oui,perso,oui,mail,111.3,53.0,B1,1176.2110490033294,NORD-OUEST,oui
6137,F,0.0,non,non,5.0,oui,permanent,basic,oui,non,non,oui,non,non,pro,non,sms,53.85,32.0,B1,10037.160640988284,NORD-OUEST,oui
3599,F,0.0,oui,oui,45.0,oui,consommation,basic,oui,oui,oui,oui,oui,non,pro,non,courrier,81.3,39.0,A4,6221.944833727817,NORD-OUEST,non
935,F,1.0,oui,non,4.0,oui,consommation,medium,non,non,non,non,oui,non,pro,oui,mail,83.25,43.0,C2,3121.255733393036,NORD-OUEST,non
3394,H,0.0,non,non,26.0,oui,consommation,basic,oui,oui,non,non,non,non,perso,non,mail,61.55,56.0,D1,3665.8295493301775,NORD-OUEST,non
3461,F,0.0,oui,oui,55.0,oui,permanent,basic,oui,oui,non,non,non,non,pro,non,mail,55.7,43.0,C4,21065.36923090816,NORD-OUEST,non
5306,H,0.0,oui,oui,19.0,oui,consommation,medium,non,non,non,non,non,oui,pro,oui,mail,83.65,21.0,A2,10645.215712127809,NORD-OUEST,oui
3126,F,0.0,oui,oui,26.0,non,bail,basic,oui,oui,non,oui,non,non,pro,non,sms,38.85,40.0,A1,478.42010342177855,NORD-OUEST,non
4670,F,0.0,oui,oui,46.0,non,bail,basic,oui,oui,non,non,non,non,pro,non,telephone,35.05,66.0,D1,446.5310290400407,NORD-OUEST,non
761,F,0.0,non,non,22.0,oui,permanent,medium,non,non,non,non,oui,oui,pro,non,mail,89.25,37.0,B2,5618.24178190547,NORD-OUEST,oui
1220,H,0.0,non,non,17.0,oui,consommation,basic,oui,non,non,non,non,oui,pro,non,telephone,65.75,96.0,D1,12632.471444067043,NORD-OUEST,non
406,H,0.0,oui,oui,60.0,oui,consommation,medium,oui,non,oui,non,oui,non,perso,oui,telephone,95.4,94.0,A4,21095.299528878357,NORD-OUEST,non
650,F,0.0,non,non,3.0,oui,permanent,medium,non,non,non,non,non,non,pro,oui,telephone,69.55,23.0,B4,2397.46012715153,NORD-OUEST,oui
915,H,1.0,oui,non,1.0,oui,consommation,medium,non,non,non,non,non,non,pro,oui,mail,73.55,67.0,D2,2665.2722125014943,NORD-OUEST,oui
3078,F,1.0,non,non,2.0,oui,consommation,medium,non,non,non,non,oui,non,pro,oui,mail,85.55,28.0,A4,2766.6863774584435,NORD-OUEST,oui
4514,F,0.0,non,non,28.0,oui,permanent,medium,non,non,non,non,non,oui,pro,oui,mail,80.6,50.0,B1,6470.976850967438,NORD-OUEST,non
4324,H,0.0,non,non,40.0,oui,permanent,basic,oui,non,oui,non,non,oui,pro,non,mail,67.45,38.0,C2,10681.354533641404,NORD-OUEST,non
5765,F,1.0,oui,non,68.0,oui,consommation,medium,oui,oui,non,non,non,oui,perso,oui,sms,96.55,30.0,C4,8062.187718717192,NORD-OUEST,oui
6204,H,0.0,non,non,13.0,non,bail,basic,non,non,non,non,non,non,pro,oui,telephone,25.15,56.0,A4,10061.57464309689,NORD-OUEST,non
930,F,0.0,non,non,16.0,oui,permanent,medium,non,oui,non,non,non,non,pro,non,telephone,75.1,30.0,D1,9603.66965037928,NORD-OUEST,non
3661,F,0.0,non,non,51.0,oui,permanent,medium,non,non,non,non,oui,oui,perso,non,sms,87.55,39.0,C1,17848.210621423703,NORD-OUEST,non
3451,H,1.0,oui,non,65.0,oui,permanent,medium,non,non,non,non,non,non,perso,oui,telephone,70.95,64.0,C1,14541.72683921445,NORD-OUEST,non
3147,F,0.0,oui,non,15.0,oui,permanent,medium,oui,non,oui,non,oui,oui,pro,non,mail,101.75,39.0,B2,5541.26851695724,NORD-OUEST,non
277,H,1.0,oui,non,21.0,oui,permanent,basic,oui,oui,non,non,non,oui,pro,oui,telephone,64.95,85.0,C3,1262.2591966581113,NORD-OUEST,non
1445,H,0.0,non,non,20.0,oui,consommation,medium,non,non,non,oui,oui,oui,pro,oui,courrier,98.55,57.0,B1,17775.00459037485,NORD-OUEST,non
3076,F,0.0,non,non,6.0,oui,permanent,basic,oui,oui,non,non,non,non,pro,non,mail,56.25,28.0,A2,5141.339073592316,NORD-OUEST,oui
6908,H,0.0,non,oui,9.0,oui,permanent,basic,non,non,non,non,oui,non,pro,non,mail,55.35,52.0,B3,2412.630746688946,NORD-OUEST,oui
1469,H,0.0,non,non,37.0,oui,consommation,medium,non,non,non,oui,oui,oui,pro,non,telephone,98.8,26.0,D3,602.1055665982944,NORD-OUEST,oui
3529,H,1.0,oui,non,2.0,oui,permanent,medium,non,non,oui,non,non,non,pro,oui,mail,74.2,88.0,C2,902.4446039225312,NORD-OUEST,non
864,H,0.0,non,non,22.0,oui,consommation,medium,non,non,non,non,oui,oui,pro,oui,sms,94.65,40.0,C4,5896.118659885387,NORD-OUEST,oui
6202,H,0.0,oui,oui,21.0,oui,consommation,basic,oui,oui,non,oui,oui,non,perso,non,courrier,77.5,31.0,A3,730.8420733761104,NORD-OUEST,oui
2906,F,0.0,oui,oui,6.0,oui,permanent,basic,non,non,non,oui,non,non,pro,oui,courrier,48.8,58.0,C3,1752.945821897342,NORD-OUEST,non
1827,F,0.0,oui,oui,45.0,non,bail,basic,oui,non,non,non,oui,oui,pro,oui,telephone,50.9,60.0,C2,9073.823941658742,NORD-OUEST,non
1437,H,0.0,non,non,27.0,oui,consommation,basic,non,non,non,non,non,non,pro,non,courrier,49.0,49.0,D1,4461.857260038349,NORD-OUEST,non
3567,F,0.0,oui,oui,14.0,oui,permanent,medium,non,oui,non,oui,non,oui,pro,oui,sms,89.65,33.0,B2,7697.900703394836,NORD-OUEST,oui
5462,H,0.0,oui,non,64.0,oui,consommation,basic,non,oui,non,oui,non,oui,perso,oui,courrier,70.15,52.0,B1,15068.979758136844,NORD-OUEST,non
6249,H,0.0,non,non,3.0,oui,consommation,medium,non,non,non,non,non,non,pro,non,mail,74.5,23.0,A4,14450.782845447906,NORD-OUEST,non
3368,F,0.0,non,non,46.0,oui,consommation,medium,non,oui,oui,non,non,oui,perso,oui,mail,94.15,49.0,C2,2882.7909052152017,NORD-OUEST,non
3747,F,0.0,oui,oui,4.0,oui,consommation,basic,non,oui,non,oui,non,non,pro,oui,courrier,58.5,21.0,A4,6672.883758294254,NORD-OUEST,non
491,F,0.0,non,non,2.0,oui,permanent,basic,non,oui,non,non,oui,non,pro,oui,mail,59.0,54.0,A4,8889.803577106944,NORD-OUEST,non
1365,H,0.0,oui,non,59.0,non,bail,basic,non,oui,non,non,non,oui,pro,oui,telephone,41.05,31.0,C3,2176.485291608381,NORD-OUEST,oui
4565,F,0.0,oui,non,71.0,non,bail,basic,oui,oui,oui,oui,oui,oui,perso,non,telephone,66.8,20.0,C3,3564.115962698259,NORD-OUEST,non
149,H,0.0,oui,oui,15.0,oui,permanent,basic,non,oui,oui,oui,non,oui,pro,oui,courrier,69.5,39.0,A4,5274.603252192635,NORD-OUEST,non
6087,H,0.0,non,oui,26.0,non,bail,basic,non,oui,non,non,oui,non,perso,oui,telephone,39.95,57.0,C1,185.8515263340587,NORD-OUEST,non
5046,F,0.0,non,non,1.0,oui,permanent,basic,non,non,non,non,non,non,pro,non,courrier,45.15,60.0,C2,5307.174708898056,NORD-OUEST,non
2624,H,0.0,oui,oui,17.0,oui,consommation,basic,non,oui,oui,oui,non,non,pro,oui,courrier,66.7,41.0,B1,18.05407769059957,NORD-OUEST,non
6535,H,0.0,non,non,35.0,oui,permanent,medium,non,oui,oui,non,oui,oui,perso,oui,telephone,102.35,32.0,B2,203.2679205874124,NORD-OUEST,oui
2257,F,0.0,non,non,60.0,oui,consommation,basic,non,non,oui,oui,oui,oui,perso,non,sms,80.55,28.0,C2,12638.058903433715,NORD-OUEST,non
2634,H,0.0,oui,non,1.0,oui,permanent,medium,non,non,non,oui,oui,non,pro,oui,mail,84.8,39.0,A1,523.6987552049322,NORD-OUEST,oui
5078,F,0.0,oui,oui,67.0,oui,consommation,medium,oui,non,oui,oui,non,oui,perso,oui,telephone,100.25,70.0,B1,4889.341130739202,NORD-OUEST,non
1394,F,0.0,oui,oui,62.0,oui,consommation,medium,non,oui,oui,oui,oui,oui,perso,oui,mail,110.8,27.0,C1,4732.550542236962,NORD-OUEST,non
2357,F,0.0,oui,non,67.0,oui,consommation,basic,oui,oui,oui,non,non,oui,perso,non,courrier,75.1,34.0,C2,14034.678886659976,NORD-OUEST,non
