churn,id_client,genre,espace_client_web,assurance_vie,banque_principale,anciennete_mois,compte_epargne,compte_courant,compte_joint,PEA,assurance_auto,assurance_habitation,credit_immo,type,compte_titres,agios_6mois,age,var_0,credit_autres_consommation,credit_autres_permanent,cartes_bancaires_medium,methode_contact_mail,methode_contact_sms,methode_contact_telephone,segment_client_A2,segment_client_A3,segment_client_A4,segment_client_B1,segment_client_B2,segment_client_B3,segment_client_B4,segment_client_C1,segment_client_C2,segment_client_C3,segment_client_C4,segment_client_D1,segment_client_D2,segment_client_D3,branche_NORD-EST,branche_NORD-OUEST,branche_OUTRE-MER,branche_SUD-EST,branche_SUD-OUEST
0,2034,1,0.0,1,1,41.0,1,1,1,1,0,0,0,0,1,60.3,33.0,1275.4041918569783,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,2665,1,1.0,1,0,33.0,1,1,1,0,1,0,1,0,1,93.55,40.0,3626.45721700103,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,451,0,1.0,0,0,22.0,1,1,0,1,1,0,1,1,1,69.75,48.0,10233.873926945404,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,5512,0,0.0,1,1,9.0,1,0,1,0,0,0,0,1,1,55.3,58.0,15441.977893729836,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,6899,1,0.0,0,0,1.0,1,0,0,0,0,0,0,1,1,45.1,28.0,885.7813989811198,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,3776,1,0.0,1,0,43.0,1,0,0,0,0,1,0,0,1,56.35,48.0,11688.447071268098,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4500,1,0.0,1,1,61.0,1,0,1,1,1,1,1,0,0,103.9,29.0,7640.8300176218545,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,6741,0,0.0,0,0,12.0,1,0,0,1,0,1,1,1,1,96.0,38.0,2041.764538923685,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1152,1,0.0,0,0,7.0,1,0,0,0,0,1,0,1,0,54.85,40.0,7398.182680529149,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,5565,0,0.0,1,0,18.0,0,0,0,1,0,1,0,1,1,39.05,35.0,262.25213087920065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,5356,0,0.0,1,0,26.0,0,1,0,1,0,0,0,0,0,35.4,38.0,13624.208925745988,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1054,1,0.0,1,0,40.0,1,0,0,0,0,1,1,1,1,97.1,40.0,11554.449271798148,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,6306,1,0.0,0,0,71.0,1,1,1,1,1,1,1,0,1,116.3,38.0,6764.027272805764,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,620,1,1.0,1,1,10.0,0,0,0,0,0,0,1,1,1,34.55,29.0,5376.759381220591,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,4033,1,0.0,1,1,67.0,1,1,1,0,1,0,0,0,0,60.05,42.0,5761.948332969336,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,5760,1,1.0,1,0,16.0,1,0,0,1,1,0,1,1,1,91.55,75.0,14335.63281998515,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1085,0,1.0,0,0,13.0,1,0,0,1,0,0,0,1,1,74.3,61.0,1147.958638793772,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3384,0,0.0,1,1,4.0,1,0,0,1,0,0,0,1,1,73.75,22.0,5645.931677948996,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,6222,1,0.0,0,0,66.0,1,0,1,0,0,0,1,1,0,89.4,49.0,2526.1157752709764,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,4764,1,0.0,0,0,2.0,1,0,0,0,0,0,0,1,1,45.15,45.0,263.6387384290929,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3450,1,1.0,1,0,70.0,1,0,1,1,0,1,1,0,1,104.8,40.0,2489.8549418191024,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,677,0,0.0,0,0,2.0,0,0,0,0,0,0,1,1,1,34.7,37.0,1770.017220089248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1483,0,0.0,1,1,29.0,1,1,1,0,1,0,1,0,1,69.75,57.0,3689.389152358747,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,6957,1,0.0,0,0,9.0,1,0,0,0,1,1,0,1,0,86.25,59.0,5658.716189329877,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1626,1,0.0,0,0,20.0,1,1,0,0,1,0,0,1,0,59.2,77.0,27019.8156024439,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1790,0,0.0,0,0,12.0,1,0,0,0,0,0,1,1,0,78.1,27.0,11392.899222476248,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,5458,1,0.0,0,0,7.0,1,1,0,0,0,0,0,1,1,51.0,40.0,747.0089024621379,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3132,1,0.0,0,0,1.0,1,0,0,0,1,0,0,1,1,74.3,34.0,11954.170696280758,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,2301,0,0.0,1,0,8.0,1,0,0,0,1,0,1,1,1,90.25,56.0,6082.998564431147,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3612,1,0.0,0,0,21.0,1,0,0,0,0,0,0,1,1,73.7,24.0,11562.097986937337,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3594,0,0.0,0,0,9.0,0,0,1,0,0,0,1,1,0,40.75,40.0,23.02730068809069,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,6025,0,0.0,0,1,41.0,1,0,0,0,0,0,0,1,0,45.2,23.0,1687.106906650799,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,4484,1,0.0,0,0,1.0,1,0,0,0,0,0,0,1,1,70.35,44.0,6445.806230789094,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,4720,1,1.0,0,0,64.0,1,0,0,1,1,1,1,0,0,102.1,57.0,10078.163029297802,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3617,0,1.0,1,0,18.0,0,0,0,1,0,1,1,1,1,48.35,38.0,4959.314179536261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,2457,1,1.0,1,0,57.0,1,0,1,1,0,1,0,0,1,90.65,62.0,3383.500582608201,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,5527,0,1.0,1,0,72.0,1,0,1,1,0,1,1,0,0,105.0,31.0,2737.911143943905,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,368,1,0.0,1,0,71.0,1,0,0,1,0,1,1,0,1,98.65,43.0,18965.72913404586,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4195,0,1.0,0,0,45.0,1,1,0,0,1,0,1,1,1,70.05,54.0,13950.969039481612,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2613,0,0.0,0,0,1.0,1,0,1,0,0,0,0,1,1,80.2,29.0,4051.891226032024,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,2691,0,0.0,0,0,7.0,1,1,0,0,0,0,1,0,1,59.1,33.0,906.7253037078708,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,2631,1,1.0,1,0,7.0,1,0,0,1,0,1,1,1,1,99.25,40.0,1575.604915071734,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3306,0,0.0,1,1,3.0,1,0,1,0,1,0,0,1,1,80.0,33.0,14722.48696662101,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5678,0,0.0,0,1,1.0,1,1,1,0,1,0,0,1,1,60.0,31.0,890.445548776861,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1,1,0.0,0,0,34.0,1,1,0,1,0,0,0,0,0,56.95,30.0,6098.838606597679,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2420,1,0.0,1,1,4.0,0,1,0,0,0,1,0,1,0,38.55,37.0,5194.98077187401,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,2938,1,0.0,1,0,53.0,1,0,1,0,1,0,1,0,0,97.75,58.0,8137.134372288524,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,5648,0,1.0,1,1,28.0,0,0,1,0,0,0,1,0,1,39.1,65.0,2145.4704800657764,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3320,1,1.0,1,0,18.0,1,1,0,0,0,0,1,1,1,59.1,32.0,2913.4969273755078,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,5200,0,0.0,1,1,70.0,1,0,1,1,0,1,1,0,1,106.5,45.0,15715.970358323904,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1234,1,0.0,0,1,54.0,1,1,1,0,1,1,1,0,1,105.85,53.0,4517.462465404164,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,4875,0,1.0,1,0,48.0,1,1,1,1,1,1,1,1,0,117.45,27.0,1380.8079056576184,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,2640,1,0.0,0,0,22.0,1,0,1,1,1,0,1,1,1,94.95,39.0,18800.37777026932,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1564,1,1.0,0,0,10.0,1,0,0,0,0,1,1,1,1,95.35,22.0,323.9922191688711,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,6689,0,0.0,1,1,67.0,1,0,1,1,1,1,1,0,1,112.35,53.0,11631.095861247535,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1821,1,1.0,1,0,32.0,1,0,0,0,0,0,1,1,0,85.3,21.0,5857.260656134071,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3162,1,0.0,0,0,19.0,1,0,0,0,0,1,1,1,0,69.6,32.0,13816.31011155613,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2798,1,0.0,0,0,10.0,1,0,0,1,0,1,1,1,1,94.9,40.0,2684.3810722202743,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3445,0,0.0,1,0,46.0,1,0,1,0,1,1,1,0,1,103.15,64.0,17927.160405307477,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,5966,1,0.0,1,0,42.0,1,0,1,1,1,0,1,1,1,99.45,48.0,5232.127622804794,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2881,0,0.0,1,0,31.0,1,1,0,0,1,0,1,0,1,64.0,71.0,5114.152589501447,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1086,0,1.0,0,0,11.0,1,0,0,0,0,1,1,1,0,89.7,21.0,2469.317308487328,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3301,0,1.0,0,0,1.0,1,0,0,0,0,0,0,1,1,69.6,23.0,2944.545239044386,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,533,1,1.0,1,1,68.0,1,0,0,1,1,1,1,0,1,107.15,30.0,4785.962301797056,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5270,1,0.0,0,1,40.0,1,1,1,0,0,0,0,1,1,55.25,32.0,6321.280586812125,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,3792,0,1.0,0,0,26.0,1,0,0,0,0,1,1,1,1,91.25,25.0,16902.684094425218,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1789,1,0.0,1,0,54.0,0,0,1,0,0,0,0,1,0,30.4,40.0,9726.98450217639,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,6843,0,0.0,1,0,9.0,1,1,1,1,0,0,0,1,0,91.75,48.0,1807.4992442096136,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4376,0,0.0,0,0,45.0,1,1,1,0,0,1,1,0,1,100.3,49.0,5761.948332969336,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1983,1,0.0,1,0,27.0,1,1,0,0,1,1,1,0,0,80.85,33.0,2331.0381671818404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,6420,1,0.0,1,0,32.0,1,0,0,0,1,0,0,0,1,79.25,72.0,4761.690202909095,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4951,1,1.0,1,0,29.0,1,0,0,0,0,0,1,1,1,84.3,47.0,3136.8507440909325,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,6717,1,1.0,1,0,57.0,1,0,0,1,0,1,1,1,0,100.6,25.0,4145.939491307664,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1015,1,0.0,1,1,12.0,1,0,0,0,0,0,1,0,0,53.65,28.0,10790.960083848038,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,4876,1,0.0,0,0,10.0,1,1,1,1,0,1,1,1,1,104.4,26.0,4937.420454168758,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,4832,1,0.0,1,0,32.0,1,1,1,0,1,0,1,0,0,70.5,103.0,14296.91715590383,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,5105,0,1.0,1,0,40.0,1,0,1,0,1,1,1,0,1,99.2,38.0,5651.081179704297,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,5205,0,0.0,0,0,37.0,1,1,1,1,0,0,0,1,0,91.2,43.0,9307.249129832288,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1644,0,0.0,0,0,34.0,1,1,1,1,0,1,1,1,1,109.8,70.0,6073.484280383304,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,455,0,0.0,0,0,24.0,1,0,1,1,0,1,1,1,1,104.15,22.0,2068.430020618752,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,4470,1,0.0,0,0,7.0,1,0,0,0,0,0,0,1,1,64.76161542923434,74.0,2417.791287324036,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,2827,1,0.0,0,0,1.0,1,0,1,0,0,0,0,1,1,50.15,25.0,1786.194657150574,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4461,1,0.0,0,0,29.0,1,0,0,0,1,1,1,1,1,94.2,53.0,6443.5226926672585,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2343,0,0.0,1,0,3.0,1,0,0,0,0,0,0,1,1,46.1,40.0,182.9568467891013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1425,1,0.0,1,0,12.0,1,0,0,1,1,1,1,1,1,74.15,32.0,11429.649921138916,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1809,1,1.0,1,0,32.0,1,0,0,0,0,0,1,1,1,85.0,30.0,1714.8901854345988,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1883,0,1.0,1,0,35.0,1,1,1,0,1,1,0,1,1,100.5,49.0,2634.183559896615,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,6391,1,0.0,1,1,38.0,1,0,1,1,0,1,1,0,0,78.95,47.0,1721.2913303611176,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1012,1,0.0,0,0,9.0,1,0,0,0,1,1,1,1,1,64.76161542923434,42.0,2123.093315691925,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,6195,1,0.0,0,0,4.0,1,0,0,0,0,0,0,1,1,72.2,38.0,5257.633563149067,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3353,1,0.0,1,0,12.0,1,0,1,0,0,0,1,1,1,85.05,39.0,6955.421113456556,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,6212,1,0.0,0,0,15.0,0,0,0,1,0,1,1,0,0,50.75,45.0,4736.4020305579525,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1656,0,0.0,0,0,53.0,1,1,1,1,0,0,0,1,0,90.8,22.0,4278.35382565612,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1515,0,0.0,0,0,41.0,1,0,0,1,1,0,1,0,1,68.6,43.0,8105.114404828851,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1910,0,0.0,1,1,5.0,0,0,1,0,0,0,0,1,1,30.5,44.0,1827.1299026531224,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,6847,0,0.0,1,1,18.0,1,0,0,0,0,1,0,1,0,55.95,45.0,8844.538597364024,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,6029,1,0.0,0,0,4.0,1,1,1,0,1,0,1,1,1,94.9,64.0,21149.99021784053,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,5447,0,0.0,0,0,3.0,1,0,0,0,0,0,0,1,0,44.75,23.0,1948.703316424402,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,5993,1,0.0,0,0,2.0,1,0,1,0,0,0,0,1,0,74.95,60.0,25610.65060516004,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,2204,1,0.0,1,1,67.0,1,1,1,1,0,1,1,0,1,111.3,53.0,1176.2110490033294,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,6137,0,0.0,0,0,5.0,1,1,0,0,1,0,0,1,0,53.85,32.0,10037.160640988284,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3599,0,0.0,1,1,45.0,1,1,1,1,1,1,0,1,0,81.3,39.0,6221.944833727817,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,935,0,1.0,1,0,4.0,1,0,0,0,0,1,0,1,1,83.25,43.0,3121.255733393036,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,3394,1,0.0,0,0,26.0,1,1,1,0,0,0,0,0,0,61.55,56.0,3665.8295493301775,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,3461,0,0.0,1,1,55.0,1,1,1,0,0,0,0,1,0,55.7,43.0,21065.36923090816,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,5306,1,0.0,1,1,19.0,1,0,0,0,0,0,1,1,1,83.65,21.0,10645.215712127809,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3126,0,0.0,1,1,26.0,0,1,1,0,1,0,0,1,0,38.85,40.0,478.42010342177855,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4670,0,0.0,1,1,46.0,0,1,1,0,0,0,0,1,0,35.05,66.0,446.5310290400407,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,761,0,0.0,0,0,22.0,1,0,0,0,0,1,1,1,0,89.25,37.0,5618.24178190547,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1220,1,0.0,0,0,17.0,1,1,0,0,0,0,1,1,0,65.75,96.0,12632.471444067043,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,406,1,0.0,1,1,60.0,1,1,0,1,0,1,0,0,1,95.4,94.0,21095.299528878357,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
